createdAt,side,liquidity,type,market,price,size,fee
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.0094","0.161872"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.001","0.01722"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.001","0.01722"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.0289","0.497672"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.05","0.861025"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.07","1.205435"
"2023-11-01T10:25:45.479Z","SELL","TAKER","MARKET","BTC-USD","34441","0.0397","0.683653"
"2023-10-31T19:02:28.158Z","BUY","TAKER","MARKET","BTC-USD","34565","0.2","3.4565"
"2023-10-31T18:59:07.505Z","BUY","TAKER","MARKET","BTC-USD","34486","0.2974","5.128068"
"2023-10-31T18:59:07.505Z","BUY","TAKER","MARKET","BTC-USD","34486","0.0526","0.906981"
"2023-10-31T18:45:34.417Z","BUY","TAKER","MARKET","BTC-USD","34417","0.35","6.022975"
"2023-10-31T17:13:47.835Z","SELL","TAKER","MARKET","LINK-USD","11.204","100","0.5602"
"2023-10-31T17:13:37.709Z","SELL","TAKER","MARKET","BTC-USD","34368","0.2343","4.026211"
"2023-10-31T17:13:37.709Z","SELL","TAKER","MARKET","BTC-USD","34368","0.4657","8.002588"
"2023-10-31T17:13:24.300Z","SELL","TAKER","MARKET","BTC-USD","34371","0.1","1.71855"
"2023-10-31T16:54:05.382Z","BUY","TAKER","MARKET","LINK-USD","11.232","10.8","0.060652"
"2023-10-31T16:54:05.382Z","BUY","TAKER","MARKET","LINK-USD","11.231","89.2","0.500902"
"2023-10-31T16:52:11.441Z","BUY","TAKER","MARKET","BTC-USD","34430","0.1","1.7215"
"2023-10-31T16:51:59.812Z","BUY","TAKER","MARKET","BTC-USD","34433","0.7","12.05155"
"2023-10-31T16:40:52.843Z","BUY","TAKER","STOP_MARKET","ETH-USD","1802.1","2","1.8021"
"2023-10-31T15:46:37.792Z","SELL","TAKER","MARKET","ETH-USD","1789.5","1.624","1.453074"
"2023-10-31T15:46:37.792Z","SELL","TAKER","MARKET","ETH-USD","1789.5","0.376","0.336426"
"2023-10-31T08:19:53.250Z","BUY","TAKER","MARKET","LTC-USD","68.7","7","0.24045"
"2023-10-31T08:03:05.375Z","SELL","TAKER","MARKET","LTC-USD","68.5","7","0.23975"
"2023-10-30T15:43:32.707Z","SELL","TAKER","MARKET","BTC-USD","34683","0.3211","5.568355"
"2023-10-30T15:43:32.707Z","SELL","TAKER","MARKET","BTC-USD","34683","0.0289","0.501169"
"2023-10-30T14:32:38.396Z","SELL","TAKER","MARKET","BTC-USD","34645","0.35","6.062875"
"2023-10-30T13:37:13.975Z","SELL","TAKER","MARKET","BTC-USD","34715","0.15","2.603625"
"2023-10-30T13:23:24.924Z","BUY","TAKER","MARKET","BTC-USD","34664","0.15","2.5998"
"2023-10-30T13:21:41.585Z","BUY","TAKER","MARKET","BTC-USD","34653","0.7","12.12855"
"2023-10-30T13:07:16.107Z","SELL","MAKER","LIMIT","BTC-USD","34576","0.3332","2.304144"
"2023-10-30T13:07:16.099Z","SELL","MAKER","LIMIT","BTC-USD","34576","0.0769","0.531778"
"2023-10-30T13:07:16.083Z","SELL","MAKER","LIMIT","BTC-USD","34576","0.2899","2.004716"
"2023-10-30T13:06:15.768Z","SELL","TAKER","MARKET","BTC-USD","34564","0.1","1.7282"
"2023-10-30T13:06:04.791Z","SELL","TAKER","MARKET","LINK-USD","11.276","5","0.02819"
"2023-10-30T13:06:04.791Z","SELL","TAKER","MARKET","LINK-USD","11.276","115","0.64837"
"2023-10-30T09:21:33.307Z","BUY","TAKER","MARKET","LINK-USD","11.408","32.2","0.183668"
"2023-10-30T09:21:33.307Z","BUY","TAKER","MARKET","LINK-USD","11.405","87.8","0.500679"
"2023-10-30T09:19:56.413Z","BUY","TAKER","MARKET","BTC-USD","34515","0.1","1.72575"
"2023-10-30T09:19:30.530Z","BUY","TAKER","MARKET","BTC-USD","34510","0.321","5.538855"
"2023-10-30T09:19:30.530Z","BUY","TAKER","MARKET","BTC-USD","34510","0.029","0.500395"
"2023-10-30T02:01:40.831Z","SELL","TAKER","MARKET","LINK-USD","11.107","62.5","0.347093"
"2023-10-30T02:01:09.749Z","SELL","TAKER","MARKET","BTC-USD","34277","0.1303","2.233146"
"2023-10-30T02:01:09.749Z","SELL","TAKER","MARKET","BTC-USD","34281","0.1468","2.516225"
"2023-10-30T02:01:09.749Z","SELL","TAKER","MARKET","BTC-USD","34282","0.0729","1.249578"
"2023-10-29T18:19:32.834Z","BUY","TAKER","MARKET","LINK-USD","11.211","62.5","0.350343"
"2023-10-29T06:40:31.271Z","SELL","TAKER","MARKET","BTC-USD","34101","0.35","5.967675"
"2023-10-29T06:40:09.219Z","BUY","TAKER","MARKET","BTC-USD","34105","0.35","5.968375"
"2023-10-29T06:39:59.441Z","BUY","TAKER","MARKET","BTC-USD","34112","0.3","5.1168"
"2023-10-29T06:39:59.441Z","BUY","TAKER","MARKET","BTC-USD","34112","0.05","0.8528"
"2023-10-28T17:04:00.898Z","SELL","MAKER","LIMIT","BTC-USD","34132","0.35","2.38924"
"2023-10-27T18:18:02.214Z","BUY","TAKER","MARKET","BTC-USD","33590","0.5","8.3975"
